Rank,University,Location
739,Northwood University,Midland ...
521,Norwich University,Northfield
1409,Notre Dame College,Cleveland
1188,Notre Dame de Namur University,Belmont
1022,Notre Dame of Maryland University,Baltimore
177,Nova Southeastern University,Fort Lauderdale ...
1204,Nyack College,Nyack
1714,Oak Hills Christian College,Bemidji
1509,Oakland City University,Oakland City
238,Oakland University,Rochester Hills
1291,Oakwood University,Huntsville
266,Oberlin College,Oberlin
408,Occidental College,Los Angeles
888,Oglethorpe University,Atlanta
1453,Ohio Christian University,Circleville
1379,Ohio Dominican University,Columbus
631,Ohio Northern University,Ada
138,Ohio University,Athens ...
Un,Ohio University Southern,Ironton
Un,Ohio University-Chillicothe,Chillicothe
1591,Ohio Valley University,Vienna
629,Ohio Wesleyan University,Delaware ...
1097,Oklahoma Baptist University,Shawnee
883,Oklahoma Christian University,Edmond ...
784,Oklahoma City University,Oklahoma City
1548,Oklahoma Panhandle State University,Goodwell
125,Oklahoma State University,Stillwater ...
1320,Oklahoma Wesleyan University,Bartlesville
169,Old Dominion University,Norfolk
1326,Olivet College,Olivet
701,Olivet Nazarene University,Bourbonnais
849,Oral Roberts University,Tulsa
1547,Oregon College of Art and Craft,Portland
172,Oregon Health & Science University,Portland ...
675,Oregon Institute of Technology,Klamath Falls
52,Oregon State University,Corvallis ...
704,Otis College of Art and Design,Los Angeles
1056,Ottawa University,Ottawa ...
771,Otterbein University,Westerville
1108,Ouachita Baptist University,Arkadelphia
1313,Our Lady of the Lake University,San Antonio
1602,Ozark Christian College,Joplin
210,Pace University,New York City ...
484,Pacific Lutheran University,Tacoma
1093,Pacific Northwest College of Art,Portland
1621,Pacific Oaks College,Pasadena
1043,Pacific Union College,Angwin
448,Pacific University,Forest Grove
1373,Pacifica Graduate Institute,Carpinteria ...
1378,Paine College,Augusta
1111,Palm Beach Atlantic University,West Palm Beach ...
857,Palm Beach State College,Lake Worth
1631,Palo Alto University,Palo Alto
1625,Pardee RAND Graduate School,Santa Monica
756,Park University,Parkville ...
1524,Parker University,Dallas
